priorite,categorie,source,type,url,contact,statut,notes,date_prevue,template_recommande,url_cible,anchor_suggere
🔴 Priorité 1,Annuaires B2B,Clutch,Profil entreprise,https://clutch.co,support@clutch.co,À créer,Déjà identifié. Obtenir 5+ avis clients,2026-01-10,Template 5 - Plateforme avis,services/index.html,VOC-Call BPO France
🔴 Priorité 1,Annuaires B2B,Sortlist,Profil + avis,https://www.sortlist.com,contact@sortlist.com,À créer,Marketplace B2B backlink + leads,2026-01-20,Template 5 - Plateforme avis,services/index.html,VOC-Call centre d'appel France
🟡 Priorité 2,Annuaires B2B,GoodFirms,Profil entreprise,https://www.goodfirms.co,contact@goodfirms.co,À créer,Alternative Clutch secteur IT/BPO,2026-02-15,Template 5 - Plateforme avis,services/index.html,VOC-Call
🟢 Priorité 3,Annuaires B2B,DesignRush,Profil,https://www.designrush.com,contact@designrush.com,À créer,Marketplace agences section call center,2026-03-01,Template 5 - Plateforme avis,services/index.html,VOC-Call
🔴 Priorité 1,Annuaires institutionnels,France Num,Annuaire numérique / Activateurs,https://www.francenum.gouv.fr,contact@francenum.gouv.fr,À soumettre,Portail transformation numérique entreprises - Section Activateurs France Num,2026-02-01,Template 3 - Annuaire,index.html,VOC-Call
🔴 Priorité 1,Annuaires institutionnels,BPI France,Annuaire entreprises,https://www.bpifrance.fr,contact@bpifrance.fr,À soumettre,Autorité très élevée section services,2026-02-05,Template 3 - Annuaire,services/index.html,VOC-Call centre d'appel
🟡 Priorité 2,Annuaires institutionnels,CCI France,Annuaire CCI,https://www.cci.fr,contact@cci.fr,À soumettre,Chambre de commerce local,2026-02-10,Template 3 - Annuaire,about.html,VOC-Call
🟡 Priorité 2,Annuaires institutionnels,Pôle Emploi Entreprises,Annuaire recruteurs,https://entreprise.pole-emploi.fr,entreprises@pole-emploi.fr,À soumettre,Autorité .gouv section télétravail,2026-02-15,Template 3 - Annuaire,careers.html,VOC-Call
🔴 Priorité 1,Annuaires sectoriels,AFRC (Association Française Relation Client),Annuaire membres,https://www.afrc.asso.fr,contact@afrc.asso.fr,À contacter,Association professionnelle autorité secteur,2026-03-01,Template 4 - Association,about.html,VOC-Call
🟡 Priorité 2,Annuaires sectoriels,Call Center Network,Annuaire call center,https://www.call-center-network.fr,contact@call-center-network.fr,À contacter,Spécialisé call center France,2026-03-05,Template 3 - Annuaire,services/index.html,VOC-Call
🟡 Priorité 2,Annuaires sectoriels,BPO France,Annuaire BPO,Recherche nécessaire,-,À rechercher,Annuaire spécialisé BPO,2026-03-10,Template 3 - Annuaire,services/index.html,VOC-Call
🟢 Priorité 3,Annuaires sectoriels,Annuaires Pro,Multi-annuaires,https://www.annuaires-pro.com,contact@annuaires-pro.com,À soumettre,Généraliste mais trafic,2026-03-15,Template 3 - Annuaire,index.html,VOC-Call
🔴 Priorité 1,Plateformes avis,Capterra,Profil + avis,https://www.capterra.fr,contact@capterra.com,À créer,Marketplace logiciels section call center,2026-02-15,Template 5 - Plateforme avis,services/index.html,VOC-Call call center
🔴 Priorité 1,Plateformes avis,G2,Profil + avis,https://www.g2.com,contact@g2.com,À créer,Autorité très élevée avis clients,2026-01-25,Template 5 - Plateforme avis,services/index.html,VOC-Call BPO
🟡 Priorité 2,Plateformes avis,TrustRadius,Profil,https://www.trustradius.com,contact@trustradius.com,À créer,Avis B2B secteur tech,2026-03-01,Template 5 - Plateforme avis,services/index.html,VOC-Call
🟡 Priorité 2,Plateformes avis,Software Advice,Profil,https://www.softwareadvice.com,contact@softwareadvice.com,À créer,Comparateur logiciels,2026-03-05,Template 5 - Plateforme avis,services/index.html,VOC-Call
🟡 Priorité 2,Associations,Syntec Numérique,Annuaire membres,https://syntec-numerique.fr,contact@syntec-numerique.fr,À contacter,Fédération numérique autorité secteur,2026-05-15,Template 4 - Association,about.html,VOC-Call
🟡 Priorité 2,Associations,France Télécoms,Annuaire / Article,Recherche nécessaire,-,À rechercher,Fédération télécoms,2026-05-20,Template 4 - Association,services/index.html,VOC-Call
🟡 Priorité 2,Associations,CGPME,Annuaire PME,https://www.cgpme.org,contact@cgpme.org,À contacter,Confédération PME,2026-05-25,Template 4 - Association,about.html,VOC-Call

