semaine,type,sujet,url_cible,format,cta,statut
S47-2025,Guide pilier,Comment choisir un call center en France,services/service-client.html,Article 2000 mots + checklist,Demander un devis call center,À rédiger
S48-2025,Article BOFU,Standard téléphonique externalisé : tarifs et ROI,services/standard-externalise.html,Article 1200 mots + tableau,Obtenir un devis standard,À rédiger
S49-2025,Guide technique,Helpdesk externalisé : SLA, outils et procédures,services/helpdesk.html,Guide 1800 mots + template SLA,Configurer un audit helpdesk,À rédiger
S50-2025,Article middle,Relance commerciale : 6 séquences multicanales,services/relance-commerciale.html,Article 1500 mots + template séquence,Planifier une relance,À rédiger
S51-2025,Étude de cas,Success story VOC-Call (client SaaS),contact.html,Ebook PDF + résumé blog,Nous contacter,À planifier
S01-2026,Article TOFU,Gestion des réclamations : 7 étapes,services/gestion-reclamations.html,Article 1500 mots,Planifier un audit réclamations,À rédiger
S02-2026,Article BOFU,Permanence téléphonique 24/7 : combien ça coûte ?,services/permanence.html,Article 1200 mots + simulateur,Obtenir un devis permanence,À rédiger
S03-2026,Guide pilier,Externalisation service client : stratégie & KPI,services/service-client.html,Article 2200 mots + modèle KPI,Demander un devis,À rédiger
S04-2026,Article middle,Télésecrétariat : organiser un agenda médical,services/telesecretariat.html,Article 1300 mots + fiche pratique,Obtenir un devis télésecrétariat,À rédiger
S05-2026,Article TOFU,Structurer son centre de contact en France,services/index.html,Article 1600 mots + infographie,Contactez-nous,À rédiger
S06-2026,Ebook,Guide complet de la relation client externalisée,services/index.html,Ebook PDF + landing page, Télécharger le guide,À planifier
S07-2026,Article middle,Back-office externalisé : réduire les délais,services/back-office.html,Article 1400 mots,Planifier un audit back-office,À rédiger
